id,total_UFC_fights,UFC_wins,UFC_losses,last_fight,total_fight_time_sec,total_rounds_fought,kd,sig_str_landed,sig_str_atmpted,total_str_landed,total_str_atmpted,td_landed,td_atmpted,ctrl,sub_att,head_landed,head_atmpted,body_landed,body_atmpted,leg_landed,leg_atmpted,dist_landed,dist_atmpted,clinch_landed,clinch_atmpted,ground_landed,ground_atmpted,sig_str_absorbed,total_str_absorbed,takedowns_allowed,time_controlled,knockdowns_absorbed,takedowns_defended,subs_defended,head_absorbed,body_absorbed,leg_absorbed,dist_absorbed,clinch_absorbed,ground_absorbed,ctrl_differential,str_differential,opp_sig_str_landed,opp_takedowns_landed,name,division,wins_by_ko_tko,losses_by_ko_tko,wins_by_submission,losses_by_submission,wins_by_decision,losses_by_decision,wins_by_other,losses_by_other,career_total_sig_str_acc,career_total_str_acc,career_td_acc,career_head_acc,career_body_acc,career_leg_acc,career_dist_acc,career_clinch_acc,career_ground_acc,str_landed_per_min,td_per_min,td_att_per_min,kd_per_min,ctrl_per_min,sig_str_absorbed_per_min,times_knockedown_per_min,time_controlled_per_min,avg_fight_time_sec,win_percentage,finish_rate,ko_tko_win_rate,ko_tko_vulnerability,submission_win_rate,submission_vulnerability,decision_win_rate,decision_vulnerability,other_win_rate,other_vulnerability,career_td_defense,head_str_percentage,body_str_percentage,leg_str_percentage,str_efficiency_ratio,control_dominance_ratio,takedown_dominance_ratio,performance_differential_per_min,knockdown_differential,chin_durability,head_absorbed_percentage,body_absorbed_percentage,leg_absorbed_percentage,dist_absorbed_percentage,clinch_absorbed_percentage,ground_absorbed_percentage,style_diversity_index,submission_threat,power_efficiency,ctr_time_per_td_atmpt,submission_conversion_rate,nick_name,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,parsed_weight_class,weight_class,relative_height,relative_reach,height_z_score,reach_z_score
0052de90691d4a93,7,4,3,2017-03-11,4622,17,0.0,203.0,538.0,269.0,614.0,10.0,25.0,757.0,3.0,147.0,438.0,31.0,73.0,25.0,27.0,159.0,479.0,20.0,27.0,24.0,32.0,265.0,350.0,1.0,539.0,1.0,5.0,0.0,161.0,51.0,53.0,229.0,15.0,21.0,218.0,-62.0,265.0,1.0,Davi Ramos,welterweight,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,37.732342007434944,43.811074918566774,40.0,33.56164383561644,42.465753424657535,92.5925925925926,33.194154488517746,74.07407407407408,75.0,3.4919948074426657,0.12981393336218086,0.3245348334054522,0.0,9.826914755517093,3.440069234097793,0.012981393336218087,6.996971008221549,660.2857142857143,57.14285714285714,42.857142857142854,0.0,0.0,42.857142857142854,0.0,14.285714285714285,42.857142857142854,0.0,0.0,83.33333333333334,72.41379310344827,15.270935960591133,12.31527093596059,0.7660377358490567,1.4044526901669758,10.0,2.0250973604500215,-1.0,0.6226415094339622,60.75471698113207,19.245283018867926,20.0,86.41509433962264,5.660377358490567,7.9245283018867925,0.6721039809464803,0.08823529411764706,0.0,30.28,100.0,Tasmanian Devil,167.64,70.31,177.8,Orthodox,"Nov 05, 1986",2.64,37,3.44,56,1.95,40,83,0.6,Welterweight,Welterweight,-13.182129629629657,-8.372592592592582,-2.5930724137906083,-1.3430877187257315
009341ed974bad72,7,5,2,2020-07-11,4529,18,4.0,433.0,775.0,489.0,838.0,3.0,5.0,662.0,1.0,347.0,666.0,64.0,81.0,22.0,28.0,327.0,626.0,29.0,36.0,77.0,113.0,430.0,511.0,6.0,644.0,3.0,13.0,3.0,298.0,74.0,58.0,310.0,33.0,87.0,18.0,3.0,430.0,6.0,Jiri Prochazka,light heavyweight,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,55.87096774193549,58.35322195704057,60.0,52.1021021021021,79.01234567901234,78.57142857142857,52.23642172523961,80.55555555555556,68.14159292035397,6.478251269595938,0.03974387281960698,0.0662397880326783,0.05299183042614264,8.770147935526607,5.696621770810333,0.03974387281960698,8.531684698608965,647.0,71.42857142857143,71.42857142857143,57.14285714285714,28.57142857142857,14.285714285714285,0.0,0.0,0.0,0.0,0.0,68.42105263157895,80.13856812933025,14.780600461893764,5.080831408775981,1.0069767441860464,1.0279503105590062,0.5,0.2782071097372488,1.0,0.3023255813953488,69.30232558139535,17.209302325581397,13.488372093023257,72.09302325581395,7.674418604651163,20.232558139534884,0.7002029183820666,0.0125,0.009237875288683603,132.4,100.0,,190.5,92.99,203.2,Orthodox,"Oct 14, 1992",5.74,55,5.7,43,0.6,60,68,0.2,Light Heavyweight,Light Heavyweight,3.6094736842105135,10.494210526315783,0.7154585536734315,1.5941414743884978
009c4420727149ea,4,1,3,2022-10-22,2973,10,0.0,192.0,431.0,250.0,508.0,5.0,6.0,424.0,0.0,105.0,326.0,29.0,40.0,58.0,65.0,167.0,389.0,18.0,29.0,7.0,13.0,278.0,391.0,7.0,606.0,1.0,13.0,0.0,131.0,58.0,89.0,200.0,21.0,57.0,-182.0,-86.0,278.0,7.0,AJ Dobson,middleweight,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,44.5475638051044,49.21259842519685,83.33333333333334,32.20858895705521,72.5,89.23076923076924,42.9305912596401,62.06896551724138,53.84615384615385,5.045408678102926,0.10090817356205853,0.12108980827447023,0.0,8.557013118062564,5.610494450050454,0.020181634712411706,12.230070635721495,743.25,25.0,0.0,0.0,25.0,0.0,0.0,25.0,50.0,0.0,0.0,65.0,54.6875,15.104166666666666,30.208333333333332,0.6906474820143885,0.6996699669966997,0.7142857142857143,-5.408678102926338,-1.0,0.6402877697841727,47.122302158273385,20.863309352517987,32.014388489208635,71.94244604316546,7.553956834532374,20.503597122302157,0.46399001048238436,0.0,0.0,70.66666666666667,0.0,,185.42,83.91,193.04,Orthodox,"Jan 18, 1992",4.29,46,5.31,46,1.67,75,65,0.3,Middleweight,Middleweight,0.9695698924731175,2.9769892473118205,0.19681514817204643,0.4980518662268462
00debc804e2b1cd4,5,2,3,2013-04-13,2224,9,3.0,82.0,163.0,116.0,200.0,7.0,14.0,347.0,1.0,48.0,115.0,19.0,25.0,15.0,23.0,45.0,115.0,19.0,25.0,18.0,23.0,101.0,151.0,6.0,996.0,0.0,8.0,4.0,77.0,18.0,6.0,54.0,21.0,26.0,-649.0,-19.0,101.0,6.0,Dylan Andrews,middleweight,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,50.306748466257666,57.99999999999999,50.0,41.73913043478261,76.0,65.21739130434783,39.130434782608695,76.0,78.26086956521739,3.129496402877698,0.18884892086330934,0.3776978417266187,0.08093525179856116,9.361510791366907,2.7248201438848922,0.0,26.8705035971223,444.8,40.0,40.0,40.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,57.14285714285714,58.536585365853654,23.170731707317074,18.29268292682927,0.8118811881188119,0.34839357429718876,1.1666666666666667,-18.02158273381295,3.0,1.0,76.23762376237624,17.82178217821782,5.9405940594059405,53.46534653465347,20.792079207920793,25.742574257425744,1.0009772434769637,0.04,0.036585365853658534,24.785714285714285,0.0,The Villain,185.42,83.91,187.96,Switch,"Nov 15, 1979",2.21,50,2.72,46,2.83,50,57,0.4,Middleweight,Middleweight,0.9695698924731175,-2.1030107526881636,0.19681514817204643,-0.35183480458226696
00e11b5c8b7bfeeb,11,6,5,2013-05-18,5099,22,2.0,376.0,661.0,451.0,746.0,6.0,20.0,1125.0,6.0,221.0,469.0,97.0,124.0,58.0,68.0,223.0,454.0,26.0,35.0,127.0,172.0,285.0,380.0,6.0,858.0,5.0,7.0,0.0,149.0,84.0,52.0,216.0,38.0,31.0,267.0,91.0,285.0,6.0,Luke Rockhold,middleweight,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,56.88350983358548,60.45576407506702,30.0,47.12153518123667,78.2258064516129,85.29411764705883,49.118942731277535,74.28571428571429,73.83720930232558,5.306922926063934,0.07060207883898804,0.2353402627966268,0.023534026279662678,13.237889782310258,3.353598744851932,0.0588350656991567,10.096097273975289,463.54545454545456,54.54545454545454,54.54545454545454,27.27272727272727,36.36363636363637,27.27272727272727,0.0,0.0,9.090909090909092,0.0,0.0,53.84615384615385,58.77659574468085,25.79787234042553,15.425531914893616,1.3192982456140352,1.3111888111888113,1.0,4.212590704059619,-3.0,-0.7543859649122806,52.28070175438596,29.47368421052631,18.24561403508772,75.78947368421053,13.333333333333334,10.87719298245614,0.86118069892924,0.045112781954887216,0.005319148936170213,56.25,50.0,,190.5,83.91,195.58,Southpaw,"Oct 17, 1984",4.1,49,2.68,53,0.7,29,65,1.0,Middleweight,Middleweight,6.04956989247313,5.516989247311841,1.228015642819955,0.9229952016314076
0112352cb32f5026,6,1,5,2022-03-26,2822,11,2.0,170.0,413.0,361.0,629.0,3.0,7.0,208.0,0.0,116.0,338.0,45.0,64.0,9.0,11.0,142.0,375.0,22.0,24.0,6.0,14.0,246.0,346.0,7.0,1077.0,1.0,18.0,2.0,171.0,40.0,35.0,191.0,22.0,33.0,-869.0,-76.0,246.0,7.0,Denis Tiuliulin,middleweight,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,41.162227602905574,57.39268680445151,42.857142857142854,34.319526627218934,70.3125,81.81818181818183,37.86666666666667,91.66666666666666,42.857142857142854,7.675407512402551,0.06378454996456413,0.148830616583983,0.042523033309709427,4.42239546420978,5.230333097094259,0.021261516654854713,22.898653437278526,470.3333333333333,16.666666666666664,16.666666666666664,16.666666666666664,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,0.0,0.0,72.0,68.23529411764706,26.47058823529412,5.294117647058823,0.6910569105691057,0.19312906220984216,0.42857142857142855,-20.092133238837704,1.0,0.5934959349593496,69.51219512195121,16.260162601626014,14.227642276422763,77.64227642276423,8.94308943089431,13.414634146341465,0.5329694192877306,0.0,0.011764705882352941,29.714285714285715,0.0,,185.42,83.91,195.58,Orthodox,"May 17, 1988",3.61,41,5.23,38,0.96,42,72,0.0,Middleweight,Middleweight,0.9695698924731175,5.516989247311841,0.19681514817204643,0.9229952016314076
01641ba5df0c69b0,6,5,1,2025-07-12,3093,12,0.0,227.0,493.0,255.0,533.0,14.0,26.0,730.0,5.0,131.0,373.0,43.0,56.0,53.0,64.0,198.0,444.0,25.0,37.0,4.0,12.0,177.0,235.0,4.0,307.0,1.0,13.0,0.0,108.0,34.0,35.0,137.0,30.0,10.0,423.0,50.0,177.0,4.0,Gabriel Bonfim,welterweight,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,46.0446247464503,47.84240150093809,53.84615384615385,35.120643431635386,76.78571428571429,82.8125,44.5945945945946,67.56756756756756,33.33333333333333,4.946653734238604,0.27158098933074687,0.504364694471387,0.0,14.161008729388943,3.433559650824442,0.019398642095053348,5.955383123181377,515.5,83.33333333333334,50.0,0.0,16.666666666666664,50.0,0.0,33.33333333333333,0.0,0.0,0.0,76.47058823529412,57.70925110132159,18.94273127753304,23.348017621145374,1.2824858757062148,2.3778501628664497,3.5,9.175557710960232,-1.0,0.4350282485875706,61.016949152542374,19.2090395480226,19.774011299435028,77.40112994350282,16.94915254237288,5.649717514124294,0.43334673461002576,0.2777777777777778,0.0,28.076923076923077,60.0,Marretinha,185.42,77.11,182.88,Orthodox,"Aug 20, 1997",4.54,45,3.53,63,4.03,55,76,1.6,Welterweight,Welterweight,4.5978703703703445,-3.292592592592598,0.904452554676289,-0.5281805635438286
016a8d958883167c,8,2,6,2017-02-19,3937,16,1.0,245.0,481.0,580.0,885.0,19.0,36.0,1572.0,1.0,130.0,339.0,79.0,100.0,36.0,42.0,154.0,347.0,56.0,86.0,35.0,48.0,231.0,323.0,4.0,868.0,1.0,2.0,1.0,141.0,82.0,8.0,135.0,71.0,25.0,704.0,14.0,231.0,4.0,Gina Mazany,women's bantamweight,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,50.935550935550935,65.5367231638418,52.77777777777778,38.34808259587021,79.0,85.71428571428571,44.38040345821326,65.11627906976744,72.91666666666666,8.839217678435357,0.28956057912115823,0.5486410972821946,0.015240030480060958,23.957327914655828,3.520447040894082,0.015240030480060958,13.228346456692913,492.125,25.0,12.5,12.5,50.0,0.0,12.5,12.5,12.5,0.0,0.0,33.33333333333333,53.06122448979592,32.244897959183675,14.69387755102041,1.0606060606060606,1.8110599078341014,4.75,10.94234188468377,0.0,0.5670995670995671,61.038961038961034,35.4978354978355,3.463203463203463,58.44155844155844,30.735930735930733,10.822510822510822,0.9071864649182098,0.018518518518518517,0.004081632653061225,43.666666666666664,0.0,Danger,167.64,56.7,172.72,Southpaw,"Aug 19, 1988",3.73,50,3.52,50,4.34,52,33,0.2,Women's Bantamweight,Women's Bantamweight,-0.881224489795926,2.488163265306099,-0.18937512783990262,0.5160221477696042
01784fbc27c68b14,4,1,3,2017-12-01,2221,9,0.0,94.0,218.0,115.0,245.0,5.0,6.0,100.0,2.0,56.0,163.0,33.0,47.0,5.0,8.0,81.0,203.0,11.0,12.0,2.0,3.0,147.0,232.0,7.0,961.0,1.0,14.0,4.0,114.0,18.0,15.0,87.0,15.0,45.0,-861.0,-53.0,147.0,7.0,Rachael Ostovich,women's flyweight,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,43.11926605504588,46.93877551020408,83.33333333333334,34.355828220858896,70.2127659574468,62.5,39.90147783251231,91.66666666666666,66.66666666666666,3.1067086897793788,0.13507429085997297,0.16208914903196758,0.0,2.70148581719946,3.9711841512832056,0.0270148581719946,25.96127870328681,555.25,25.0,25.0,0.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,66.66666666666666,59.57446808510638,35.1063829787234,5.319148936170213,0.6394557823129252,0.1040582726326743,0.7142857142857143,-24.691580369203063,-1.0,0.3197278911564626,77.55102040816327,12.244897959183673,10.204081632653061,59.183673469387756,10.204081632653061,30.612244897959183,0.461236017178839,0.2857142857142857,0.0,16.666666666666668,50.0,,160.02,56.7,157.48,Orthodox,"Feb 25, 1991",2.54,43,3.97,57,2.03,83,66,0.8,Women's Flyweight,Women's Flyweight,-5.926666666666648,-9.877777777777794,-1.50331569248738,-1.3939808598172938
01afe0916a40c7c5,7,7,0,2020-10-24,4511,16,1.0,244.0,406.0,426.0,611.0,7.0,27.0,2236.0,6.0,170.0,315.0,64.0,80.0,10.0,11.0,137.0,258.0,59.0,77.0,48.0,71.0,163.0,281.0,1.0,457.0,0.0,6.0,2.0,93.0,32.0,38.0,131.0,27.0,5.0,1779.0,81.0,163.0,1.0,Shavkat Rakhmonov,welterweight,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,60.09852216748769,69.72176759410802,25.925925925925924,53.96825396825397,80.0,90.9090909090909,53.100775193798455,76.62337662337663,67.6056338028169,5.666149412547107,0.0931057415207271,0.3591221458656617,0.013300820217246729,29.740634005763688,2.168033695411217,0.0,6.078474839281755,644.4285714285714,100.0,85.71428571428571,14.285714285714285,0.0,71.42857142857143,0.0,14.285714285714285,0.0,0.0,0.0,85.71428571428571,69.67213114754098,26.229508196721312,4.098360655737705,1.4969325153374233,4.892778993435448,7.0,24.739525604078917,1.0,1.0,57.05521472392638,19.631901840490798,23.31288343558282,80.3680981595092,16.56441717791411,3.067484662576687,0.9872102555158686,0.10909090909090909,0.004098360655737705,82.81481481481481,83.33333333333334,Nomad,185.42,77.11,195.58,Orthodox,"Oct 23, 1994",3.25,60,2.17,51,1.4,25,85,1.2,Welterweight,Welterweight,4.5978703703703445,9.407407407407419,0.904452554676289,1.509087324410938
